Region,Failed_Transactions
"112 Elm Avenue",298
"20 Oak Street",280
"6976 Ocean View Avenue",192
"2352 Bayview Boulevard",177
"702 Elm Drive",176
"8897 East Street",169
"13 Rose Boulevard",165
"5468 Little Creek Drive",160
"85 Lafayette Boulevard",159
"90 Lexington Drive",153
"782 Hill Lane",149
"973 River Street",139
"4480 Hillside Avenue",138
"323 Eighth Drive",137
"6339 Lafayette Avenue",137
"26 El Camino Street",132
"8993 Madison Avenue",132
"3270 Grant Avenue",132
"28 Hillside Boulevard",131
"455 Little Creek Boulevard",130
"3177 Oak Avenue",129
"837 Lincoln Avenue",126
"5380 12th Boulevard",125
"3374 Littlewood Street",115
"533 Sussex Drive",112
"95266 Bayview Drive",112
"2012 Forest Avenue",108
"663 Second Boulevard",107
"7467 Spruce Drive",105
"2062 Fourth Street",104
"690 Hill Lane",103
"237 Hill Lane",103
"24 River Avenue",100
"5194 Grant Street",100
"595 Valley Stream Drive",98
"7872 Oak Drive",98
"6232 Second Avenue",95
"726 Oak Avenue",95
"5180 Burns Boulevard",94
"3631 Plum Boulevard",92
"276 Fifth Boulevard",92
"19176 Grant Drive",90
"2842 Littlewood Avenue",88
"9706 Mountain View Street",87
"7794 Ocean Street",86
"645 Catherine Lane",85
"531 Pine Avenue",84
"8414 Tenth Drive",84
"6016 Little Creek Boulevard",84
"627 Ninth Drive",81
"1867 Bayview Street",80
"7927 Plum Lane",79
"514 Pine Boulevard",78
"127 Grant Street",78
"222 Lafayette Lane",78
"984 Eighth Avenue",78
"84497 Valley Stream Drive",77
"9028 Valley Stream Avenue",77
"6303 South Boulevard",77
"744 Lafayette Street",77
"804 Sixth Boulevard",76
"440 North Street",76
"6339 Fourth Street",75
"345 George Street",75
"467 Birch Avenue",75
"441 River Street",74
"95 12th Avenue",74
"6077 Sixth Avenue",74
"523 Federal Drive",74
"969 Lexington Lane",73
"2760 Forest Drive",73
"696 George Lane",72
"6680 River Avenue",72
"488 Bayview Boulevard",72
"995 Martin Luther King Street",72
"2111 Burns Street",72
"933 Valley Lane",71
"749 Oak Street",71
"6335 Rose Lane",71
"818 12th Lane",71
"7061 Littlewood Street",71
"75 Birch Lane",71
"9911 Rose Street",70
"704 East Drive",70
"6035 Forest Avenue",70
"9384 Ocean Avenue",70
"910 Eighth Drive",70
"819 Park Boulevard",69
"9052 River Lane",69
"3034 Third Boulevard",69
"20 Littlewood Boulevard",69
"6914 Wessex Avenue",68
"600 Grant Lane",68
"557 Catherine Drive",68
"4121 Mountain View Boulevard",67
"7808 Lincoln Drive",67
"723 Fourth Drive",67
"468 Park Lane",67
"2897 West Street",66
"272 Burns Boulevard",66
"168 Sussex Boulevard",66
"294 Bayview Lane",66
"142 First Drive",64
"858 Plum Avenue",64
"69080 Spruce Street",63
"6829 Main Boulevard",63
"49 Tenth Street",63
"801 12th Drive",62
"71858 Mountain View Street",62
"5 Hill Avenue",62
"1105 Wessex Avenue",62
"146 Plum Avenue",62
"93 Lafayette Boulevard",61
"4940 Ocean View Drive",61
"3863 Pine Street",60
"919 Ocean View Lane",59
"4492 Grant Drive",59
"9 Plum Boulevard",59
"4232 Grant Drive",59
"754 South Avenue",59
"8027 Main Drive",59
"6777 First Drive",58
"1943 Birch Street",57
"924 First Drive",57
"3067 First Street",57
"381 Fifth Lane",57
"362 Martin Luther King Street",57
"2292 South Street",55
"596 Ninth Street",55
"58 Birch Lane",55
"8651 Seventh Street",54
"6405 Fifth Avenue",54
"305 Pine Avenue",53
"6999 Lexington Lane",53
"1442 Mill Avenue",53
"6389 El Camino Drive",53
"5238 Park Street",53
"4137 Bayview Drive",53
"338 Littlewood Street",52
"984 Little Creek Lane",52
"495 Ocean View Lane",52
"390 Tenth Street",52
"7378 Park Lane",51
"7406 Mill Avenue",51
"6606 Oak Drive",50
"582 Birch Boulevard",50
"9550 Jefferson Street",50
"7571 George Street",50
"55378 Burns Avenue",50
"7485 Seventh Street",49
"858 Martin Luther King Drive",49
"772 Lexington Street",49
"608 Washington Drive",49
"386 11th Lane",49
"31204 El Camino Lane",48
"3539 Lincoln Boulevard",48
"280 Lake Avenue",48
"700 Rose Avenue",48
"7508 Grant Street",48
"27 Third Avenue",48
"471 Eighth Lane",47
"5159 Wessex Avenue",47
"388 Third Avenue",47
"378 West Boulevard",47
"9 Mill Drive",47
"645 Hillside Lane",47
"901 Oak Street",46
"61674 Elm Drive",46
"4096 Sussex Avenue",46
"7012 11th Lane",46
"9983 Park Drive",46
"936 12th Street",46
"79948 Sixth Avenue",45
"704 Summit Drive",45
"682 Federal Lane",45
"6328 Forest Street",45
"4 North Street",45
"9505 Martin Luther King Avenue",44
"108 Washington Street",44
"849 Norfolk Lane",44
"45 Ocean Lane",44
"152 El Camino Boulevard",43
"1915 Catherine Boulevard",43
"262 First Lane",42
"518 Norfolk Avenue",42
"3260 Hillside Lane",42
"2328 Little Creek Avenue",42
"5233 Valley Stream Street",42
"773 12th Street",42
"3536 Burns Street",42
"4541 Hill Boulevard",42
"31 Hill Boulevard",41
"3982 Ocean View Street",41
"33 Pine Lane",41
"5651 North Boulevard",41
"8676 River Avenue",40
"990 North Lane",40
"4 Plum Boulevard",40
"896 Rose Street",39
"839 Essex Lane",39
"4329 El Camino Boulevard",39
"5336 Tenth Drive",39
"4391 Lexington Lane",39
"430 Grant Boulevard",39
"77931 Lincoln Avenue",38
"3550 Sixth Boulevard",38
"16893 Fifth Avenue",38
"38318 West Drive",38
"708 George Street",38
"102 Seventh Avenue",37
"219 Ocean Avenue",37
"50 Spruce Street",37
"9070 Third Boulevard",37
"26191 George Drive",37
"45 Maple Lane",37
"3553 Mountain View Drive",36
"3551 Spruce Boulevard",36
"654 Birch Lane",36
"671 West Drive",36
"9020 North Street",36
"496 Hill Lane",36
"23068 Park Street",35
"407 Seventh Lane",35
"8886 Little Creek Street",35
"8407 Littlewood Street",35
"5220 Lincoln Street",35
"8794 Catherine Lane",34
"732 Lincoln Drive",34
"4514 Elm Street",34
"76 Lexington Boulevard",34
"903 Hill Boulevard",33
"5193 East Street",32
"253 West Drive",32
"80471 Eighth Street",32
"4633 Sixth Avenue",32
"327 Lafayette Boulevard",31
"518 Main Street",31
"671 Little Creek Street",30
"4222 Ocean View Drive",30
"9528 Hill Street",30
"2786 Forest Lane",30
"2890 Eighth Lane",30
"2043 Mill Street",29
"9833 Forest Street",29
"281 Martin Luther King Avenue",28
"881 Plum Street",28
"863 Park Drive",28
"8070 Mill Lane",28
"69 Martin Luther King Street",27
"60 Little Creek Avenue",27
"64 Mill Street",26
"5295 Pine Street",26
"6009 River Avenue",26
"67424 Tenth Boulevard",26
"30 Catherine Street",25
"8349 Valley Avenue",25
"7675 Main Boulevard",25
"480 Seventh Lane",25
"68 Rose Boulevard",24
"172 Birch Street",24
"7336 First Avenue",24
"112 Burns Lane",23
"235 Fourth Street",23
"267 Birch Boulevard",23
"840 Elm Avenue",23
"6577 Catherine Lane",23
"2193 Sixth Avenue",23
"2 11th Avenue",23
"253 Lexington Avenue",21
"9939 Mill Lane",20
"142 Catherine Street",20
"8 Tenth Drive",19
"9243 Oak Street",18
"9079 Second Drive",18
"6561 George Avenue",18
"206 Pine Lane",17
"7360 Lexington Drive",16
"1444 Plum Boulevard",16
"675 Fifth Avenue",16
"699 Third Avenue",15
"9473 Mill Street",15
"12960 El Camino Lane",14
"378 Fourth Boulevard",13
"2336 George Drive",13
"407 Park Lane",13
"260 Spruce Avenue",13
"871 12th Lane",12
"196 Plum Lane",12
"0 Elm Street",10
"2487 Martin Luther King Drive",10
"298 Federal Avenue",10
"1032 Second Lane",8
"125 Plum Drive",7
"927 River Street",5
"6444 Madison Drive",2
"331 Oak Lane",2
